Id|Nombre|Departamento_id|Provincia_id
207001008310|Milton|2070|2
207001008335|Miramar|2070|2
207001008560|Nanduti|2070|2
207001009255|Pehuajo|2070|2
207001010320|San Nicolas|2070|2
207001010555|Simbron|2070|2
207701000430|Almagro|2077|2
207701001120|Av Chorroarin|2077|2
207701001460|Av Jose Fagnano|2077|2
1401401025790|Hernando Magallanes|14014|14
207701001770|Av Tte Grl Donato Alvarez|2077|2
207701001990|Basilio Cittadini|2077|2
207701002170|Bernardo De Leon|2077|2
207701004535|Dr Alejandro Posadas|2077|2
207701005660|Franco|2077|2
207701005710|Gabino Ezeiza|2077|2
207701005815|Gazeta De Buenos Aires|2077|2
207701006440|Indio|2077|2
207701006445|Igr Agustin Gonzalez|2077|2
207701006740|Jose Ingenieros|2077|2
207701007105|La Calandria|2077|2
207701007775|Magdalena|2077|2
207701007855|Manuel De San Gines|2077|2
207701008145|Mateo J Martinez|2077|2
207701008285|Miguel Couto|2077|2
207701010170|Rusia|2077|2
207701010545|Sierra Grande|2077|2
207701011355|Villa Juncal|2077|2
208401000765|Argelia|2084|2
1401401025850|Hipolito Montagne|14014|14
208401001810|Avalos|2084|2
208401003475|Carlos Molina Arrotea|2084|2
208401004625|Dr Honorio Leguizamon|2084|2
208401004445|Diaz Colodrero|2084|2
208401005090|Elsa Oconnor|2084|2
208401005105|Emilio Civit|2084|2
208401005760|Gamarra|2084|2
208401006525|Islandia|2084|2
208401006220|Gustavo Rearte|2084|2
208401006605|Joaquin Castellanos|2084|2
208401006640|Jorge Cafrune (no Oficial)|2084|2
208401006650|Jorge Di Pascuale|2084|2
208401006820|Jose Varas|2084|2
208401007530|Lituania|2084|2
208401007840|Manuel Alvarez Prado|2084|2
208401008265|Miguel A Camino|2084|2
208401009520|Plus Ultra|2084|2
208401009320|Pestalozzi|2084|2
208401009625|Prometeo|2084|2
208401010045|Rodrigo Ortiz De Zarate|2084|2
208401010135|Rufino|2084|2
208401010270|San Francisco De Asis|2084|2
208401010455|Santos Vega|2084|2
209101001580|Av Melian|2091|2
209101004675|Dr Marcelo J Fitte|2091|2
209101008510|Munich|2091|2
209101010765|Tegucigalpa|2091|2
209101011560|Zavalia|2091|2
209801002220|Billinghurst|2098|2
209801004040|Convencion|2098|2
209801004395|Del Signo|2098|2
209801006475|Intendente Bunge|2098|2
209801006790|Jose Ortega Y Gasset|2098|2
209801008275|Miguel Cane|2098|2
209801009160|Paunero|2098|2
209801009285|Pereyra Lucena|2098|2
209801009615|Pringles|2098|2
209801011310|Vidt|2098|2
210501000205|Adolfo P Carranza|2105|2
210501000760|Arganaras|2105|2
210501000630|Angel J Carranza|2105|2
210501001360|Av Garmendia|2105|2
210501005355|Eugenio Ramirez|2105|2
9401502001710|Jujuy|94015|94
210501008020|Mario Bernasconi|2105|2
210501008220|Melincue|2105|2
210501008525|Murcia|2105|2
210501010565|Sin Correspondencia|2105|2
210501010760|Tasso|2105|2
210501011090|Urdininea|2105|2
1401401026025|Hugo Bornancini|14014|14
602801000115|A Ghiraldo|6028|6
602801000180|Agrelo|6028|6
602801000240|Alice|6028|6
602801000355|Ardohain|6028|6
602801000420|Av Burgward|6028|6
1401401026055|Huincul|14014|14
1401401025475|Guanusacate|14014|14
1401401026125|Idiazabal|14014|14
602801000540|B Bequer|6028|6
602801000615|Batalla De C Rayada|6028|6
602801000650|Benito Lynch|6028|6
602801000655|Berazain|6028|6
602801000790|Burgos|6028|6
602801000880|C Rippamonti|6028|6
602801000955|Calle 18|6028|6
602801001990|Castro|6028|6
602801002040|Chanar|6028|6
602801002350|Diego Villaroel|6028|6
602801002430|Dr Luis Agote|6028|6
602801002535|Echeverry|6028|6
602801002590|El Churrinche|6028|6
602801002665|El Rodeo|6028|6
602801002785|F De Cuvas|6028|6
602801002920|Formosa|6028|6
602801002955|Fray M Esquié|6028|6
602801003065|Grl Artigas|6028|6
602801003090|Grl Hornos|6028|6
602801003140|Grl Roca|6028|6
602801003180|Guttero|6028|6
602801003255|Iglesias|6028|6
602801003410|J Casacuberta|6028|6
602801003485|J Rossini|6028|6
602801003525|Jefrie|6028|6
602801003565|Jose M Zuviria|6028|6
602801003690|Kennedy|6028|6
9401502001745|Kayel|94015|94
